inst_id,cell_type,major_axis_length,minor_axis_length,major_minor_ratio,orientation_degree,area,extent,solidity,convex_area,eccentricity,equivalent_diameter,perimeter,R_mean,R_std,R_min,R_max,G_mean,G_std,G_min,G_max,B_mean,B_std,B_min,B_max,contrast,homogeneity,dissimilarity,ASM,energy,correlation,heterogeneity
11,3,42.32958665524103,25.704156863319863,1.6467992659835442,34.6792219231441,852,0.6826923076923077,0.9759450171821306,873,0.7945195669248214,32.9363035587535,111.63961030678928,102.6349765258216,18.43105022301748,60,156,29.163145539906104,11.797206777799602,5,82,63.37323943661972,12.374217377403449,38,114,0,1,0,1,1,1,0
12,3,25.267993096984405,12.081985505070941,2.09137753777135,81.1345090476882,236,0.7564102564102564,0.9516129032258065,248,0.8782761507684491,17.334489682638438,62.62741699796952,110.79661016949153,14.185848356506384,83,142,37.79237288135593,10.633897325794328,18,65,76.50847457627118,10.230600296113867,57,101,0,1,0,1,1,1,0
13,3,34.4361077215318,11.518454946290603,2.989646431062491,75.878294355523,303,0.6108870967741935,0.9126506024096386,332,0.942400111031029,19.64157789116634,80.2842712474619,148.6996699669967,11.830439840587978,122,178,59.524752475247524,11.486189778677732,34,96,103.3003300330033,11.361981356837568,78,135,0,1,0,1,1,1,0
14,3,28.409710013484965,14.720083230826969,1.9299965610241265,179.75064673768526,325,0.7738095238095238,0.9558823529411765,340,0.8552984627352606,20.342144725641095,70.2842712474619,98.57230769230769,21.073902984076028,60,156,29.787692307692307,16.239207139534557,4,77,67.47692307692307,16.627232243251004,40,113,0,1,0,1,1,1,0
15,3,41.1962227698623,16.16420311337623,2.548608334163503,74.90742539128324,521,0.6855263157894737,0.9559633027522936,545,0.9198070442052677,25.75573339679963,97.59797974644665,150.63915547024953,12.778052292897115,119,190,70.43186180422265,14.949167296798112,37,120,115.35892514395394,14.585105396276717,77,161,0,1,0,1,1,1,0
16,2,20.444143248220062,18.277714318736827,1.1185284380587122,53.749744879844016,293,0.7710526315789473,0.9606557377049181,305,0.4480034923134107,19.314740138231286,61.698484809834994,89.94880546075085,23.440159238494456,59,152,24.47098976109215,14.807410216303468,4,68,60.907849829351534,16.590686966234355,38,113,0,1,0,1,1,1,0
17,1,27.191220645861875,11.804559945228958,2.3034505963817598,35.16380417402299,251,0.5810185185185185,0.9507575757575758,264,0.9008496073562186,17.876888032555495,64.18376618407356,84.04780876494024,11.030458788958112,62,117,17.788844621513945,7.579540705776234,2,39,53.211155378486055,9.270569627315323,31,75,0,1,0,1,1,1,0
18,3,37.64665235057471,14.531287709776803,2.590730642904114,66.81160201966269,425,0.6132756132756133,0.952914798206278,446,0.9225023382078005,23.26213245840639,88.76955262170048,126.51764705882353,20.84441624467605,84,172,45.461176470588235,13.158724183800219,19,80,85.79294117647059,13.966327474113832,54,123,0,1,0,1,1,1,0
19,3,46.83002329551901,16.651345683113473,2.8123867095624866,150.29512489987712,582,0.5257452574525745,0.9023255813953488,645,0.9346496999725559,27.221781995965376,107.39696961966999,122.61683848797252,25.15018650852865,70,179,48.83676975945017,24.802709263634995,2,130,88.8213058419244,21.263742910314384,52,172,0,1,0,1,1,1,0
20,3,28.541658176266722,14.413494067700226,1.980203970127331,92.26464751446733,322,0.8214285714285714,0.9698795180722891,332,0.8631202307034818,20.248040236149336,69.4558441227157,133.45962732919256,21.110473626982564,100,174,60.66459627329193,27.942919657732535,20,115,106.63354037267081,25.225612893463154,71,158,0,1,0,1,1,1,0
21,3,28.033959256069817,23.06990082757484,1.2151746756779105,168.35173719423415,505,0.7514880952380952,0.9637404580152672,524,0.5681471823753056,25.357168021907675,83.01219330881975,117.91881188118812,17.973890375264812,85,175,40.28910891089109,12.240315638443825,13,77,81.66336633663366,14.456268795220254,55,127,0,1,0,1,1,1,0
22,2,25.760348665670236,14.487590167512186,1.7780975557575296,22.14319071298243,292,0.7156862745098039,0.954248366013072,306,0.8268660995080579,19.281751659604673,65.11269837220809,107.93150684931507,29.662752237986023,63,185,52.78767123287671,27.961619709319855,18,154,88.9931506849315,26.662142001358063,53,178,0,1,0,1,1,1,0
23,3,38.9195850580724,23.98508914480226,1.6226575112190713,98.64842993463954,715,0.7526315789473684,0.9571619812583668,747,0.7875326018004556,30.172276587716105,103.25483399593904,109.54265734265734,16.997303321740695,84,173,34.87412587412587,12.247487045154147,15,87,73.78041958041958,11.48501765750419,54,126,0,1,0,1,1,1,0
24,3,28.700477914015774,17.199984688585364,1.6686339222768392,70.81226027583256,381,0.7055555555555556,0.9477611940298507,402,0.8005300444676661,22.025082668269306,75.35533905932738,95.98425196850394,26.077106818644587,50,166,31.68503937007874,16.62526653818343,1,89,71.01574803149606,16.44986860726718,44,129,0,1,0,1,1,1,0
25,3,13.837160480801316,6.823137991479618,2.027976057069408,114.45795269197238,60,0.5714285714285714,0.7894736842105263,76,0.8699712382957611,8.740387444736633,36.520815280171306,134.18333333333334,9.829363605487838,113,148,42.55,9.424126838422044,23,58,87.88333333333334,10.18346972085426,67,104,0,1,0,1,1,1,0
26,3,28.0574989805036,19.38476010807519,1.4473998555605323,27.503196038221844,427,0.782051282051282,0.977116704805492,437,0.7229559891178544,23.31680264534386,75.94112549695427,92.48243559718969,22.41385373006475,53,167,32.18735362997658,18.456545059300772,10,109,70.71896955503513,18.678738200555227,52,150,0,1,0,1,1,1,0
